Day,Date High,High,Date Low,Low,Closing,Trades,Shares,Turnover,Last Traded,Days Traded
10/20/2010,20-Oct-10,79,20-Oct-10,76,77.8,5,1800,140100,20-Oct-10,1
10/21/2010,21-Oct-10,75,21-Oct-10,75,75,5,1100,82500,21-Oct-10,1
10/25/2010,25-Oct-10,74.5,25-Oct-10,73,73.6,15,9600,704810,25-Oct-10,1
10/26/2010,26-Oct-10,73,26-Oct-10,72.5,72.5,10,5700,415250,26-Oct-10,1
10/27/2010,27-Oct-10,76,27-Oct-10,72,73.4,14,7800,580810,27-Oct-10,1
10/28/2010,28-Oct-10,77,28-Oct-10,75,76,19,10100,767070,28-Oct-10,1
10/29/2010,29-Oct-10,79,29-Oct-10,74,78.2,6,2400,187500,29-Oct-10,1
11/1/2010,1-Nov-10,78.2,1-Nov-10,76,77.6,3,700,54300,1-Nov-10,1
11/2/2010,2-Nov-10,77.5,2-Nov-10,74,75.5,4,700,52870,2-Nov-10,1
11/3/2010,3-Nov-10,77,3-Nov-10,74,75.7,5,3100,230920,3-Nov-10,1
11/4/2010,4-Nov-10,75,4-Nov-10,74,75,5,3000,224000,4-Nov-10,1
11/8/2010,8-Nov-10,77.6,8-Nov-10,74,75,3,16500,1237080,8-Nov-10,1
11/9/2010,9-Nov-10,76,9-Nov-10,74,75.9,12,19200,1448500,9-Nov-10,1
11/10/2010,10-Nov-10,75,10-Nov-10,74,75,11,18200,1363620,10-Nov-10,1
11/11/2010,11-Nov-10,77,11-Nov-10,75.5,76.3,3,1900,144900,11-Nov-10,1
11/12/2010,12-Nov-10,77,12-Nov-10,66,76,4,400,29300,12-Nov-10,1
11/16/2010,16-Nov-10,73,16-Nov-10,71,72.8,9,4800,347400,16-Nov-10,1
11/18/2010,18-Nov-10,78,18-Nov-10,74,76.4,19,21000,1594310,18-Nov-10,1
11/22/2010,22-Nov-10,80,22-Nov-10,78.9,79.3,7,900,71310,22-Nov-10,1
11/23/2010,23-Nov-10,80,23-Nov-10,74,74.1,8,5800,433330,23-Nov-10,1
11/24/2010,24-Nov-10,77,24-Nov-10,75,75,3,3500,263490,24-Nov-10,1
11/25/2010,25-Nov-10,72.7,25-Nov-10,72.7,72.7,1,500,36350,25-Nov-10,1
11/26/2010,26-Nov-10,74,26-Nov-10,72.6,74,8,4900,358250,26-Nov-10,1
11/30/2010,30-Nov-10,75,30-Nov-10,72.4,72.5,24,15700,1147590,30-Nov-10,1
12/1/2010,1-Dec-10,74,1-Dec-10,73,73.1,16,14200,1043600,1-Dec-10,1
12/2/2010,2-Dec-10,73,2-Dec-10,70.1,70.8,13,4300,305010,2-Dec-10,1
12/3/2010,3-Dec-10,72,3-Dec-10,70.2,71.6,11,6800,486760,3-Dec-10,1
12/6/2010,6-Dec-10,73,6-Dec-10,72,72,8,35000,2523400,6-Dec-10,1
12/7/2010,7-Dec-10,71,7-Dec-10,70,70.3,16,23300,1641210,7-Dec-10,1
12/8/2010,8-Dec-10,70.2,8-Dec-10,68.2,69.5,12,11200,784300,8-Dec-10,1
12/9/2010,9-Dec-10,70,9-Dec-10,70,70,2,4000,280000,9-Dec-10,1
12/10/2010,10-Dec-10,70.1,10-Dec-10,70,70,5,11600,812010,10-Dec-10,1
12/13/2010,13-Dec-10,71,13-Dec-10,69.2,70.8,9,5800,410270,13-Dec-10,1
12/14/2010,14-Dec-10,69.2,14-Dec-10,69,69.2,4,700,48350,14-Dec-10,1
12/16/2010,16-Dec-10,69,16-Dec-10,69,69,3,600,41400,16-Dec-10,1
12/17/2010,17-Dec-10,69,17-Dec-10,68.4,68.4,6,2100,144560,17-Dec-10,1
12/21/2010,21-Dec-10,70,21-Dec-10,68.1,70,2,3600,251810,21-Dec-10,1
12/22/2010,22-Dec-10,75,22-Dec-10,70,74.8,11,17300,1287970,22-Dec-10,1
12/23/2010,23-Dec-10,76.5,23-Dec-10,75,76.5,18,28200,2132600,23-Dec-10,1
12/24/2010,24-Dec-10,78,24-Dec-10,77.4,77.5,5,2600,201690,24-Dec-10,1
12/27/2010,27-Dec-10,80,27-Dec-10,78,78.9,28,42000,3314550,27-Dec-10,1
12/28/2010,28-Dec-10,80,28-Dec-10,79.9,80,4,7600,607980,28-Dec-10,1
12/29/2010,29-Dec-10,79,29-Dec-10,78.1,79,14,14100,1111190,29-Dec-10,1
12/30/2010,30-Dec-10,78,30-Dec-10,75.1,78,7,1400,107050,30-Dec-10,1
12/31/2010,31-Dec-10,78.9,31-Dec-10,77.3,78,6,1700,132690,31-Dec-10,1
1/3/2011,3-Jan-11,79,3-Jan-11,79,79,2,900,71100,3-Jan-11,1
1/4/2011,4-Jan-11,79.9,4-Jan-11,76,77.3,10,4400,340050,4-Jan-11,1
1/5/2011,5-Jan-11,80,5-Jan-11,78,79.7,12,7800,618040,5-Jan-11,1
1/6/2011,6-Jan-11,83,6-Jan-11,80,82,56,100600,8146910,6-Jan-11,1
1/7/2011,7-Jan-11,85,7-Jan-11,83,83,28,17000,1433340,7-Jan-11,1
1/10/2011,10-Jan-11,83.5,10-Jan-11,78,83.5,9,5600,448200,10-Jan-11,1
1/11/2011,11-Jan-11,83.5,11-Jan-11,80.5,83,10,4900,407950,11-Jan-11,1
1/12/2011,12-Jan-11,83.5,12-Jan-11,82.5,82.5,20,13700,1134420,12-Jan-11,1
1/13/2011,13-Jan-11,82,13-Jan-11,80,80.8,8,6800,544550,13-Jan-11,1
1/14/2011,14-Jan-11,82.9,14-Jan-11,80,81,5,800,64810,14-Jan-11,1
1/17/2011,17-Jan-11,82,17-Jan-11,79.1,80,20,69800,5708870,17-Jan-11,1
1/18/2011,18-Jan-11,80,18-Jan-11,79,79.3,20,11800,937000,18-Jan-11,1
1/20/2011,20-Jan-11,82,20-Jan-11,78,81.9,13,106600,8726600,20-Jan-11,1
1/21/2011,21-Jan-11,85,21-Jan-11,82,83,54,265400,21875400,21-Jan-11,1
1/24/2011,24-Jan-11,84.5,24-Jan-11,83,84.2,55,106800,8952920,24-Jan-11,1
1/25/2011,25-Jan-11,84.8,25-Jan-11,84,84.5,43,172300,14543360,25-Jan-11,1
1/26/2011,26-Jan-11,84.5,26-Jan-11,84,84.4,25,46300,3905700,26-Jan-11,1
1/27/2011,27-Jan-11,85.1,27-Jan-11,84,84,22,45600,3856260,27-Jan-11,1
